regions,vehicle,package_id, package_code, start, end,total cost,deposited,debt,totalCost[sys],deposited[sys],debt[sys]
Ha noi,PADE0026,7,TP2_340,2023-06-21,2023-09-30,1224000,856800,367200,1226266,0,1226266
Ha noi,NADE0056,13,TP3_450,2023-06-21,2023-09-30,1620000,0,1620000,1623000,0,1623000
Hue,NADE0082,6,G20_HUE,2023-04-22,2023-09-30,5211823,1000000,4211823,5548379,0,5548379
Hue,NADE0053,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
Ha noi,NADE0087,13,TP3_450,2023-05-23,2023-09-30,2066400,1850400,486000,2096709,0,2096709
Ha noi,NADE0074,13,TP3_450,2023-04-12,2023-09-30,2320200,1467000,853200,2761500,0,2761500
HCM,NADE0018,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
Ha noi,PADE0030,13,TP3_450,2023-06-29,2023-09-30,1458000,1458000,0,1491000,0,1491000
Ha noi,PADE0028,13,TP3_450,2023-06-21,2023-09-30,1620000,0,1620000,1623000,0,1623000
Ha noi,NADE0052,1,TP2_490,2023-02-02,2023-09-30,0,0,0,4263350,0,4263350
Ha noi,PADE0029,7,TP2_340,2023-06-20,2023-09-30,1236240,869040,367200,1238733,0,1238733
HCM,NADE0017,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
Hue,NADE0079,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
Hue,NADE0071,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
HCM,NADE0061,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
Hue,NADE0024,14,TP3_HUE,2023-04-22,2023-09-30,3502263,0,3502263,4394379,0,4394379
HCM,NADE0073,2,G30_1100,2023-04-27,2023-09-30,4774000,500000,4274000,6145333,0,6145333
HCM,NADE0058,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
Ha noi,NADE0050,1,TP2_490,2023-01-11,2023-09-30,0,0,0,4647729,0,4647729
HCM,NADE0014,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
HCM,NADE0013,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
Hue,NADE0080,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
HCM,NADE0062,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
HCM,NADE0060,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
HCM,NADE0065,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
HCM,PADE0047,3,G45_1475,2023-07-13,2023-09-30,4141800,2548800,1593000,4162354,0,4162354
HCM,PADE0034,13,TP3_450,2023-07-12,2023-09-30,1279800,486000,793800,1285548,0,1285548
HCM,NADE0066,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
Ha noi,NADE0051,13,TP3_450,2023-06-21,2023-09-30,1620000,0,1620000,1623000,0,1623000
HCM,NADE0015,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
Ha noi,NADE0085,5,TP1_180,2023-06-08,2023-09-30,732240,343440,388800,735000,0,735000
Ha noi,PADE0020,13,TP3_450,2023-08-01,2023-09-30,972000,486000,486000,972000,0,972000
HCM,PADE0027,13,TP3_450,2023-07-12,2023-09-30,1279800,486000,793800,1285548,0,1285548
HCM,NADE0019,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
HCM,NADE0075,13,TP3_450,2023-06-16,2023-09-30,1701000,1215000,486000,1705500,0,1705500
HCM,NADE0016,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
HCM,NADE0063,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
Hue,NADE0081,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
HCM,NADE0064,5,TP1_180,2023-06-09,2023-09-30,725760,531360,194400,728400,0,728400
HCM,NADE0012,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
Hue,NADE0055,12,TP2_HUE,2023-04-22,2023-09-30,2906063,0,2906063,3093720,0,3093720
HCM,NADE0059,1,TP2_490,2023-03-18,2023-09-30,0,0,0,3448019,0,3448019
HCM,NADE0068,9,G30_C_850,2023-09-01,2023-09-30,,,,918000,0,918000
HCM,NADE0086,9,G30_C_850,2023-09-01,2023-09-30,,,,918000,0,918000
Hue,NADE0049,14,TP3_HUE,2023-04-22,2023-09-30,4127823,#VALUE!,#VALUE!,4394379,0,4394379
HCM,NADE0021,4,G30_960,2023-01-04,2023-08-31,8409600,6336000,2073600,8307406,0,8307406
