regions,vehicle,package_id, package_code, start, end
Ha nội,NADE0050,11,TP2_490,2023-01-11,2023-09-30
Ha nội,NADE0052,11,TP2_490,2023-02-02,2023-09-30
Ha nội,NADE0074,4,TP3_450,2023-04-12,2023-09-30
Ha nội,NADE0087,4,TP3_450,2023-05-23,2023-09-30
Ha nội,NADE0085,3,TP1_180,2023-06-08,2023-09-30
Ha nội,NADE0056,4,TP3_450,2023-06-21,2023-09-30
Ha nội,NADE0051,4,TP3_450,2023-06-21,2023-09-30
Ha nội,PADE0028,4,TP3_450,2023-06-21,2023-09-30
Ha nội,PADE0029,5,TP2_340,2023-06-20,2023-09-30
Ha nội,PADE0030,4,TP3_450,2023-06-29,2023-09-30
Ha nội,PADE0026,5,TP2_340,2023-06-21,2023-09-30
Ha nội,PADE0020,4,TP3_450,2023-08-01,2023-09-30
Huế,NADE0024,9,TP3_HUE,2023-04-22,2023-09-30
Huế,NADE0082,2,G20_HUE,2023-04-22,2023-09-30
Huế,NADE0049,9,TP3_HUE,2023-04-22,2023-09-30
Huế,NADE0053,14,TP2_HUE,2023-04-22,2023-09-30
Huế,NADE0055,14,TP2_HUE,2023-04-22,2023-09-30
Huế,NADE0071,14,TP2_HUE,2023-04-22,2023-09-30
Huế,NADE0079,14,TP2_HUE,2023-04-22,2023-09-30
Huế,NADE0080,14,TP2_HUE,2023-04-22,2023-09-30
Huế,NADE0081,14,TP2_HUE,2023-04-22,2023-09-30
HCM,NADE0060,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0061,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0065,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0063,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0067,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0066,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0059,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0058,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0054,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0062,11,TP2_490,2023-03-18,2023-09-30
HCM,NADE0012,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0013,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0014,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0015,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0016,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0017,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0018,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0019,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0020,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0021,10,G30_960,2023-04-01,2023-09-30
HCM,NADE0073,17,G30_1100,2023-04-27,2023-09-30
HCM,NADE0069,8,TP3_650,2023-04-05,2023-09-15
HCM,NADE0069,15,TP3_300,2023-09-15,2023-09-30
HCM,NADE0083,11,TP2_490,2023-03-30,2023-09-30
HCM,NADE0064,3,TP1_180,2023-06-09,2023-09-30
HCM,NADE0075,4,TP3_450,2023-06-16,2023-09-30
HCM,NADE0088,16,G30_C_850,2023-09-01,2023-09-30
HCM,NADE0086,16,G30_C_850,2023-09-01,2023-09-30
HCM,NADE0013,16,G30_C_850,2023-09-01,2023-09-30
HCM,NADE0068,16,G30_C_850,2023-09-01,2023-09-30
HCM,NADE0057,16,G30_C_850,2023-09-01,2023-09-30
HCM,NADE0043,4,TP3_450,2023-07-12,2023-09-30
HCM,NADE0034,4,TP3_450,2023-07-12,2023-09-30
HCM,NADE0002,4,TP3_450,2023-07-12,2023-09-30
HCM,NADE0048,4,TP3_450,2023-07-12,2023-09-30
HCM,NADE0027,4,TP3_450,2023-07-12,2023-09-30
HCM,NADE0042,4,TP3_450,2023-07-14,2023-09-30
HCM,NADE0047,12,G45_1475,2023-07-13,2023-09-30
HCM,NADE0023,16,G30_C_850,2023-07-17,2023-09-30
HCM,NADE0021,6,G30_1700,2023-07-20,2023-09-30
HCM,NADE0077,6,G30_1700,2023-07-20,2023-09-30
HCM,NADE0031,4,TP3_450,2023-07-25,2023-09-30
HCM,NADE0039,4,TP3_450,2023-07-29,2023-09-30
HCM,NADE0025,7,G20_650,2023-07-31,2023-09-30
HCM,NADE0021,4,TP3_450,2023-07-24,2023-09-30
HCM,NADE0077,4,TP3_450,2023-07-24,2023-09-30
HCM,NADE0032,18,G30_1600,2023-08-15,2023-09-30
HCM,PADE0050,5,TP2_340,2023-08-11,2023-09-30
HCM,PADE0033,12,G45_1475,2023-08-21,2023-09-30
HCM,NADE0017,13,G20_1150,2023-08-21,2023-09-30
HCM,NADE0016,4,TP3_450,2023-08-22,2023-08-31
HCM,NADE0016,13,G20_1150,2023-09-01,2023-09-30
HCM,NADE0019,4,TP3_450,2023-08-26,2023-09-30

