note,vehicle,package_type,start,end,total_cost,deposited,debt
Thue xe,NADE0008,TT1_SGW,,,,,
Thue xe,NADE0032,TT1_SGW,,,,,
thue xe,NADE0040,TT1_SGW,,,,,
thue xe,NADE0041,TT1_SGW,,,,,
thue xe,NADE0042,TT1_SGW,,,,,
Thue xe,NADE0048,TN0,6/7/2023,6/13/2023,616000,,
Thue xe,NADE0072,TT0,6/7/2023,7/7/2023,,,
Thue xe,NADE0076,TN1,6/7/2023,7/7/2023,3300000,,
ko co thong tin goi,NADE0035,,6/8/2023,6/13/2023,,,
thue xe,NADE0010,TT45,6/7/2023,6/20/2023,1386000,,
thue xe,NADE0010,TT45,7/6/2023,8/6/2023,2970000,,
thue xe,NADE0030,TN0,6/15/2023,6/21/2023,616000,,
thue xe,NADE0035,TN1,6/15/2023,6/28/2023,1694000,,
thue xe,NADE0009,TN1,6/15/2023,6/16/2023,242000,,
thue xe,NADE0036,TN0,6/14/2023,6/16/2023,764000,,
thue xe 5 ngay,NADE0009,TN0,6/14/2023,6/18/2023,440,,
thue xe,NADE0002,TT0,6/15/2023,7/15/2023,1980000,,
ko có ngày hết hạn,NADE0076,TN0,,,,,
thue xe,NADE0026,TT45,6/18/2023,7/18/2023,6940000,,
thue xe,NADE0031,TN_99,7/19/2023,7/23/2023,995000,,
thue xe,NADE0027,TN0,7/19/2023,7/23/2023,440000,,
thue xe,NADE0010,TT45,8/7/2023,9/7/2023,2916000,,
thue xe,NADE0038,TN1,6/22/2023,7/8/2023,1710000,,
thue xe,NADE0011,TN0,6/23/2023,6/26/2023,764000,,
khong co thoi gian thue,NADE0028,TN0,,,1116000,,
thue xe,NADE0037,TN0_60,6/24/2023,7/24/2023,1980000,,
thue xe,NADE0009,TT45,7/28/2023,8/3/2023,693000,,
thue xe,NADE0030,TT0,6/28/2023,7/28/2023,1980000,,
ko có thời gian thuê,NADE0031,TT0,,,1980000,,
thue xe,NADE0043,TN0,7/4/2023,,1116000,,
thue xe,NADE0011,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0044,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0045,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0046,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0047,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0003,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0004,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0010,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0027,TT2_AIZEN,6/29/2023,9/29/2023,,,
thue xe,NADE0039,TT2_AIZEN,6/29/2023,9/29/2023,,,
không có ngày hết hạn,NADE0076,TT45,7/10/2023,,3470000,,
thue xe,NADE0005,TT45,7/10/2023,8/20/2023,2916000,,
ko co ngay het han,NADE0072,TN1,7/17/2023,,1331600,,
khong co ngay het han,NADE0035,TN1,7/17/2023,,1094000,,
thue xe,NADE0036,TT45,7/18/2023,8/18/2023,2916000,,
thue xe,NADE0048,TN0,7/22/2023,9/24/2023,1036800,,

